,alpha,acc,prec,rec,f1
0,0.01,0.7683891128866022,0.7132644111940893,0.6080337116835451,0.656458674754788
1,0.02,0.7762881242733817,0.7100926497838171,0.6511475112712114,0.6793438438083533
2,0.03,0.7767416165763805,0.7109858040263145,0.651306101180362,0.6798387192129876
3,0.04,0.777673337126178,0.7251041967024038,0.626702009560706,0.6723216021777174
4,0.05,0.7802046487083715,0.7185577836675502,0.6510795441672897,0.6831564308891874
5,0.06,0.7793388906753738,0.7005424120023082,0.6876231903758581,0.6940226836184029
6,0.07,0.7804355175171709,0.7070327279606508,0.6773828133849883,0.6918902657734272
7,0.08,0.7777805262159778,0.7297738088872253,0.6183873671809511,0.6694791577243351
8,0.09,0.7789596062037747,0.727494683783571,0.6278121389247604,0.6739875957679679
9,0.1,0.7792811734731738,0.7054259898765315,0.6756836357869458,0.6902345603295648
,alpha,acc,prec,rec,f1
0,0.01,0.7915007297103421,0.7135961930659416,0.7134506898661048,0.7135234340481935
1,0.02,0.7961345965155301,0.7359963045803753,0.6858560456738938,0.7100421010660132
2,0.03,0.7973466577617269,0.7570366087619248,0.6526201318561816,0.7009611874923957
3,0.04,0.7977259422333259,0.7618106556282548,0.6462765354901561,0.6993037850558932
4,0.05,0.7983278501991243,0.7316493243561373,0.7041165409275244,0.7176189431635822
5,0.06,0.7989132675357228,0.7566464824969464,0.6596207435601169,0.7048100898109372
6,0.07,0.7986494174685235,0.7353495810755973,0.6979315344706495,0.7161521294402082
7,0.08,0.7993832504679216,0.7255009107468123,0.7219012664537031,0.7236966124984386
8,0.09,0.8005953117141185,0.7209709210905145,0.7375337003556945,0.7291582672579849
9,0.1,0.7974703374807266,0.707592788971368,0.7558621627132468,0.7309314375225932
