,sample,acc,prec,rec,f1
0,0.1,0.6711227433072269,0.5419583116903154,0.7060021572660338,0.613198489406644
1,0.01,0.6707219932614622,0.5415237987528724,0.7057408734917562,0.6128217807382413
2,0.001,0.6718327140673162,0.5426224458363281,0.7080924274602547,0.6144115706466923
3,0.0001,0.6686489775926302,0.5380612777377433,0.7253371565625775,0.617819092781858
4,1e-05,0.3804107440592516,0.3724448253696165,0.9898434307229521,0.5412394360005714
,sample,acc,prec,rec,f1
0,0.1,0.6526455091894031,0.5216375815265292,0.7137267775671131,0.6027480190443322
1,0.01,0.6527939248522028,0.5218475922961333,0.7119513878188165,0.6022538899011337
2,0.001,0.6578969500581294,0.5273678796322652,0.7075229628240086,0.6043042378603555
3,0.0001,0.6673510277784649,0.5407881159052407,0.6565592276719616,0.5930767368675866
4,1e-05,0.6077942958913597,0.4804787269794327,0.7662783141166933,0.5906209738427258
