,sample,acc,prec,rec,f1
0,0.1,0.7762304070711818,0.7350403716403052,0.6022338521488932,0.662042513978307
1,0.01,0.7789925874621746,0.7041381097058339,0.6773375019823739,0.6904778401348761
2,0.001,0.7754471021841839,0.7177188779846998,0.6312784612247672,0.6717292254285094
3,0.0001,0.7731136781523898,0.7286382393397524,0.6000589048233989,0.6581271975052492
4,1e-05,0.7070934441503616,0.6572137669258002,0.40796121343936204,0.5034247532779782
,sample,acc,prec,rec,f1
0,0.1,0.7928034894171387,0.7077595628415301,0.7335916083282358,0.7204441032829378
1,0.01,0.7905277825875446,0.750924189659791,0.6350846190443825,0.6881635959690189
2,0.001,0.7957223307855311,0.7300199562862302,0.6961643897686853,0.7126903317832334
3,0.0001,0.7973384124471269,0.737367118101063,0.6883028614150751,0.7119907195837876
4,1e-05,0.7671275797528054,0.6976426120256627,0.635605700174449,0.6651808471542209
