,vectorsize,acc,prec,rec,f1
0,25.0,0.7187935455677311,0.6407056315907561,0.5175694963637599,0.5725922676859452
1,50.0,0.7319035957816971,0.6443688211038799,0.5877115476109563,0.6147374906690997
2,64.0,0.7361004609130861,0.661493411420205,0.5629715217834568,0.6082688730049937
3,100.0,0.7478830154764555,0.6632245330252262,0.6242325381182174,0.6431380787320705
4,128.0,0.7552048548412365,0.6802824633196926,0.6176623847391196,0.647461853589028
5,256.0,0.7720582778835926,0.6982356617470314,0.6581028115725323,0.6775754889726037
6,512.0,0.7825710539985653,0.7037402251932029,0.695258161716396,0.6994734802726051
,vectorsize,acc,prec,rec,f1
0,25.0,0.7110429498437513,0.6313402657423455,0.49518566347221277,0.5550349801292551
1,50.0,0.7224709558793215,0.6335712464950293,0.5631074559913002,0.5962647986661709
2,64.0,0.7309883658610994,0.647477775215843,0.572577539137724,0.6077285624969941
3,100.0,0.7410229137292733,0.6792553790695055,0.546432859829176,0.6056474192373849
4,128.0,0.7474212778588567,0.6682613245627149,0.6076259090600149,0.6365027944893382
5,256.0,0.7644066259348126,0.6802120959525794,0.6655565373026122,0.6728045163580565
6,512.0,0.7779042059349774,0.6926643521110987,0.7006049072249031,0.6966120021625518
